"","x"
"(Intercept)",0.922440256482062
"V1",-6.42591883182618
"V2",-3.6621793890871
"V3",-0.884563635945817
"V4",-1.85692968351451
"V5",-6.33621497480993
"V6",4.43749224845759
"V7",0.12036269773078
"V8",1.7636607317847
"V9",-1.86841208354463
"V10",-2.94569218385076
"V11",-3.56055445983059
"V12",1.34437970475019
"V13",3.8158569492884
"V14",0.289284073667204
"V15",4.42915719633887
"V16",0.502119187061721
"V17",2.98042793462337
"V18",0.843918850875661
"V19",-1.11503343573344
"V20",-0.396217191116692
"V21",-3.39153519504352
"V22",0.0716851188521184
"V23",0.825737163338564
"V24",-2.98757073073284
"V25",1.15602071432783
"V26",0.368896956527081
"V27",-0.794708456763207
"V28",3.51352773581298
"V29",-1.16674050338702
"V30",-0.693234255862068
"V31",-0.915109496240949
"V32",2.66120947426184
"V33",-1.85662577459795
"V34",-1.47663482058944
"V35",-1.45605031658761
"V36",-0.793284631732917
"V37",-3.60707313393036
"V38",-1.22533018601624
"V39",2.31804745878022
"V40",-2.18350275647946
"V41",0.715655145098816
"V42",0.161324717165568
"V43",-3.70403575658404
"V44",1.47136800879014
"V45",0.958514476732766
"V46",2.00436085605787
"V47",-5.64897677258794
"V48",2.47103411017211
"V49",-0.207126879425009
"V50",-3.00328469264873
"V51",-1.06747083073099
"V52",-0.211176281982962
"V53",-5.10719385134255
"V54",-0.0810172511741955
"V55",1.84146598406055
"V56",1.8126908630308
"V57",1.9041950515132
"V58",-4.20953921707101
"V59",0.400458324484614
"V60",0.228714506189365
"V61",-0.67399935699594
"V62",-1.15994721800871
"V63",-2.78997339012628
"V64",3.34933600661646
"V65",0.430586973761735
"V66",7.59888986555521
"V67",0.141971437290122
"V68",-0.133837902838466
"V69",-2.40378390953245
"V70",1.6032080895373
"V71",-1.56976570496979
"V72",3.76023304312577
"V73",0.0979043399484737
"V74",-4.84799868822312
"V75",2.45574719864152
"V76",1.32010241851744
"V77",-1.40109701959422
"V78",0.365867216246844
"V79",-1.03595589686547
"V80",1.36717946614224
"V81",-0.400096402224611
"V82",2.88411579178191
"V83",4.2701167568425
"V84",3.76158979858749
"V85",-0.393353574778979
"V86",-1.47237690862829
"V87",-1.58763200099169
"V88",-1.52567272887576
"V89",-1.76522336797312
"V90",0.656358037135323
"V91",0.306078460602585
"V92",-2.16292322812234
"V93",-2.61915004889699
"V94",-6.62362303411055
"V95",-1.27069883686377
"V96",4.65118093518789
"V97",3.12101403897638
"V98",1.18066736825294
"V99",0.676326926460042
"V100",-0.0118489510851621
"V101",-2.83672976655366
"V102",4.72460030072552
