positive,negative
able,unable
acceptance,bigotry
act good,act bad
appropriate,inappropriate
artistic,not artistic
authentic,inauthentic
balanced,imbalanced
carefree,careful
not dirty environment,not clean environment
clean environment,dirty environment
not dull,not colorful
colorful,dull
communicative,uncommunicative
correct,incorrect
creative,uncreative
cultured, uncultured
democracy,autocracy
dogmatic,undogmatic
doing good,doing bad
easy,not easy
easy going,not easy going
efficient,inefficient
end dictator,dictator
end fascism,fascism
equal,unequal
exciting,unexciting
factual content,fake news
fair,unfair
fearless,fearful
feel good,feel bad
flexible,inflexible
fortunate,unfortunate
free press,propaganda
freeing,damning
friendly,not friendly
gain money,lose money
gay rights,homophobia
gender equality,sexism
generous,greedy
going well,not going well
good,bad
good animal,bad animal
good art,bad art
good boy,bad boy
good dog,bad dog
good experience,bad experience
good girl,bad girl
good man,bad man
good man,bad man
good movie,bad movie
good music,bad music
good person,bad person
good service,bad service
happy,unhappy
happy end,sad end
harmless,harmful
healthy,unhealthy
help animals,hurt animals
help human,hurt human
helpful,unhelpful
helping the vulnerable,exploiting the vulnerable
hero,villain
high quality,low quality
honest,dishonest
honor,dishonor
humanitarian,inhumane
I was right,I was wrong
imaginative,not imaginative
information,misinformation
informed,uninformed
innovative,innovative
inspiring,uninspiring
intelligent,unintelligent
interesting,uninteresting
joyful,joyless
justice,injustice
kind,unkind
like,don't like
look good,look bad
loved,unloved
loving,loveless
low crime,high crime
loyal,disloyal
lucky,unlucky
magical,mundane
make life better,make life worse
merciful,merciless
more freedom,less freedom
natural,unnatural
nice,not nice
no problem,problem
non violent,violent
nondiscriminatory,discriminatory
non-judgmental,judgmental
not bad,not good
open-minded,closed-minded
peace,war
peaceful,not peaceful
perfect,imperfect
pleasant,unpleasant
positive,negative
pro peace,pro war
promoted,demoted
racial justice,racism
respected,disrespected
responsive,unresponsive
safe,unsafe
science,pseudoscience
sensible,senseless
service,disservice
smell good,smell bad
soothing,stressful
sound good,sound bad
stable,unstable
suitable,unsuitable
sustainable,unsustainable
sympathetic,unsympathetic
talented,untalented
taste good,taste bad
teacher,deceiver
tolerant,intolerant
unbiased,biased
understand,misunderstand
unprejudiced,prejudiced
useful,useless
very good,most evil
wasteless,wasteful
welcoming,unwelcoming
wholesome,not wholesome
easy job,difficult job
good job,bad job
good money,bad money
ethical,unethical
good environment,bad environment
developing person,not developing person
lots of diversity,lack of diversity
lots of good,lots of bad
lack of bad,lack of good
inclusivity,exclusivity
friendly people,unfriendly people
employment,unemployment
moving up,not moving up
good training,bad training
work-life balance,no work-life balance
flexible hours,not flexible hours
room to move,no room to move
have room,have no room
not bored,bored
have good thing,have bad thing
want to invest,don't want to invest
want to purchase,don't want to purchase
good benefits,bad benefits
boat float,boat sink
comfortable,uncomfortable
diversity of,no diversity of
am interested,am not interested
 collaborative,not  collaborative
have innovation,have no innovation
does innovate,does not innovate
good atmosphere,bad atmosphere
have autonomy,have no autonomy
good opportunity,bad opportunity
lot of opportunity,not a lot of opportunity
not micromanagement,micromanagement
meet expectations,not meet expectations
learn a lot,not learn a lot
job stability,job instability
good plot,bad plot
interesting plot,not interesting plot
good pace,bad pace
tolerate,not tolerate
opportunities,no opportunities
competitive pay,not competitive pay
good competition,bad competition
friendly competition,not friendly competition
good company,bad company
good theatre,bad theatre
good story,bad story
good book,bad book
friendly staff,unfriendly staff
not too stressful,too stressful
happy people,unhappy people
important work,unimportant work
good building,bad building
good location,bad location
good benefits,bad benefits
good reputation,bad reputation
technology improvement,technology needs improvement
fast growing,slow growing
not too hard,too hard
good co-workers,bad co-workers
good actors,bad actors
good server,bad server
good software,bad software
good staff,bad staff
polite staff,impolite staff
rewarding,not rewarding
good manager,bad manager
good impact,bad impact
good 401k,bad 401k
person is good,person is bad
person is smart,person is not smart
good product,bad product
person treated well,person not treated well
good salary,bad salary
family friendly,not family friendly
good food,bad food
not bad travel,not good travel
good travel,bad travel
not bad history,not good history
good history,bad history
good space,bad space
interesting product,not interesting product
good attitude,bad attitude
not narcissistic,not humble
humble,narcissistic
not powerless,powerless
empower good,empower bad
empowered,humbled
positive adventure,negative adventure
free,not free
energy,no energy
people building,people destroying
autonomy,lack of autonomy
great environment,not great environment
love thing,hate thing
no micro management,micro management
eventful,uneventful
not bad price,not good price
good price,bad price
environment is good,environment is bad
global perspective,narrow perspective
open minded,closed minded
open environment,closed environment
get to do thing,don't get to do thing
customer focus,no customer focus
not bad customer focus,not good customer focus
advanced technology,broken technology
good machine,bad machine
not bad machine,not good machine
good party,bad party
not bad party,not good party
good rhythm,bad rhythm
not bad rhythm,not good rhythm
good policies,bad policies
not bad campaign,not good campaign
good campaign,bad campaign
many opportunities,not many opportunities
product reliable,product broke
product didn't disappoint,product disappointed
celebrated,not celebrated
not unfair,not fair
fair treatment,unfair treatment
travel opportunity,no travel opportunity
good travel,bad travel
not bad travel,not good travel
not bad trip,not good trip
good trip,bad trip
variety,no variety
fair negotiation,unfair negotiation
natural beauty,natural disaster
economic recovery,economic recession
health recovery,health decline
interesting people,boring people
not bad school,not good school
good school,bad school
people not mean,people not nice
nice people,mean people
not bad clinic,not good clinic
good clinic,bad clinic
clean clinic,dirty clinic
good doctor,bad doctor
multicultural,monoculture
not stagnate,stagnate
not bad HR,not good HR
good HR,bad HR
not bad PR,not good PR
good PR,bad PR
not bad press,not good press
good press,bad press
good marketing,bad marketing
accurate description,misleading description
good challenge,bad challenge
new opportunities,no new opportunities
advancement,lack of advancement
I love it,I hate it
think it's good,think it's not good
good career,bad career
management is good,management is bad
well managed,not well managed
good structure,bad structure
not bad structure,not good structure
good process,bad process
not bad process,not good process
good speed,bad speed
not bad speed,not good speed
agile,not agile
learn quickly,learn slowly
lesson is clear,lesson is confusing
good notes,bad notes
good materials,bad materials
quick witted,absent minded
safe from abuse,abuse
not suffer,suffer
accessible,not accessible
free from abuse,abuser
didn't make mistake,made mistake
no errors,many errors
accomplishments,lack of accomplishments
youthful,decrepit
popular,not popular
value for customer,rip off customer
nice and relaxed,not nice and relaxed
good discount,bad discount
easy to understand,not easy to understand
not difficult to understand,difficult to understand
person doesn't know,person knows a lot
it felt good,it felt bad
people pleasant,people unpleasant
good fashion,bad fashion
not bad fashion,not good fashion
good leader,bad leader
not bad leader,not good leader
good politician,bad politician
not bad politician,not good politician
good president,bad president
not bad president,not good president
not disadvantage,disadvantage
lots of positive,no positive
no negative,lots of negative
no delay,long delay
anti-dictator,evil dictator
clear communication,unclear communication
clear water,unclear water
good water,bad water
not bad water,not good water
good alcohol,bad alcohol
