positive,negative
good,bad
not bad,not good
doing good,doing bad
feel good,feel bad
smell good,smell bad
taste good,taste bad
look good,look bad
sound good,sound bad
happy,unhappy
fair,unfair
correct,incorrect
pleasant,unpleasant
happy end,sad end
act good,act bad
helpful,unhelpful
harmless,harmful
wasteless,wasteful
like,don't like
loving,loveless
safe,unsafe
joyful,joyless
information,misinformation
intelligent,unintelligent
sustainable,unsustainable
fearless,fearful
positive,negative
exciting,unexciting
useful,useless
non violent,violent
respected,disrespected
unbiased,biased
honest,dishonest
merciful,merciless
justice,injustice
tolerant,intolerant
welcoming,unwelcoming
suitable,unsuitable
stable,unstable
efficient,inefficient
able,unable
open-minded,closed-minded
honour,dishonour
dogmatic,undogmatic
non-judgemental,judgemental
understand,misunderstand
nondiscriminatory,discriminatory
equal,unequal
unprejudiced,prejudiced
